multiplicador_baja,multiplicador_neutral,multiplicador_sube,accuracy,balanced_accuracy,f1_macro,predicciones_baja,predicciones_neutral,predicciones_sube,porcentaje_predicho_baja,porcentaje_predicho_neutral,porcentaje_predicho_sube
1.25,1.0,0.75,0.5704547184170472,0.39543295651570837,0.35449834733541974,110504,412185,2911,21.02435312024353,78.42180365296804,0.5538432267884322
1.25,1.0,1.75,0.5076769406392694,0.4185800507472359,0.3542917434423165,1020,280953,243627,0.19406392694063926,53.453767123287676,46.35216894977169
1.75,1.0,1.0,0.5104109589041096,0.4166593744158844,0.35332547523973257,222542,301115,1943,42.34056316590563,57.289764079147645,0.3696727549467275
1.0,1.0,1.75,0.5077435312024353,0.4185310994754669,0.35319896303805237,289,281030,244281,0.0549847792998478,53.46841704718417,46.47659817351598
0.75,1.0,1.75,0.5077682648401827,0.4185253195138788,0.35293585902922286,102,281052,244446,0.01940639269406393,53.47260273972603,46.507990867579906
0.5,1.0,1.75,0.507789193302892,0.4185419916785221,0.3528740192932114,38,281060,244502,0.007229832572298326,53.474124809741255,46.51864535768645
1.0,1.0,0.75,0.5848211567732116,0.381012596392226,0.3520174375970939,58575,452236,14789,11.144406392694064,86.04185692541857,2.8137366818873666
1.75,1.0,0.75,0.5103595890410959,0.41672808491162905,0.34981091982980717,224352,301127,121,42.68493150684932,57.29204718417047,0.02302130898021309
1.75,1.0,2.0,0.46543949771689497,0.4189752293133336,0.34968218834794956,9973,223489,292138,1.8974505327245053,42.52073820395738,55.581811263318116
1.75,1.0,0.5,0.5103538812785389,0.4167303519796836,0.34955959476141324,224469,301127,4,42.707191780821915,57.29204718417047,0.00076103500761035
1.25,1.0,0.5,0.5701350837138508,0.39514489264613406,0.3494537413873986,113296,412245,59,21.555555555555557,78.4332191780822,0.011225266362252663
0.75,1.0,1.0,0.5878025114155251,0.3890536105507923,0.34905048409480743,863,441750,82987,0.164193302891933,84.04680365296804,15.78900304414003
2.5,1.0,2.5,0.3740658295281583,0.4026429316880001,0.3488041072438975,110409,125077,290114,21.006278538812786,23.796993911719937,55.19672754946727
0.5,1.0,1.0,0.5878367579908675,0.3889000319365572,0.3478744089050419,116,441888,83596,0.022070015220700154,84.0730593607306,15.904870624048705
2.0,1.0,1.25,0.46692351598173515,0.4134888124088117,0.3413700429146407,275751,245237,4612,52.464041095890416,46.65848554033485,0.8774733637747336
2.75,1.0,2.5,0.34626712328767123,0.39229891212647666,0.3407750279211439,279193,107028,139379,53.11891171993912,20.363013698630137,26.518074581430746
2.5,1.0,2.0,0.384634703196347,0.40281966502773386,0.33824238710895677,338929,147588,39083,64.48420852359209,28.079908675799086,7.4358828006088284
1.5,1.0,2.0,0.46545471841704716,0.4179461222428435,0.3380655656178824,1667,223923,300010,0.3171613394216134,42.6033105022831,57.079528158295275
0.75,1.0,0.75,0.5928215372907154,0.3742776915967749,0.33791201200061743,10034,472643,42923,1.9090563165905632,89.92446727549466,8.166476407914764
1.25,1.0,2.0,0.46551750380517504,0.4178180377944101,0.33624125603566135,483,224039,301078,0.09189497716894977,42.6253805175038,57.282724505327245
1.0,1.0,2.0,0.46554604261796045,0.4177995837234449,0.3358277745590363,181,224075,301344,0.03443683409436834,42.6322298325723,57.333333333333336
0.75,1.0,2.0,0.4655802891933029,0.41782177978619534,0.3357176700210651,76,224092,301432,0.014459665144596652,42.63546423135464,57.350076103500754
0.5,1.0,2.0,0.46559741248097414,0.41784305425496754,0.33568338126877917,30,224095,301475,0.005707762557077625,42.63603500761035,57.358257229832574
1.0,1.0,0.5,0.583380898021309,0.37910503516237676,0.33444624386774363,71851,453298,451,13.670281582952814,86.24391171993912,0.08580669710806697
2.0,1.0,1.0,0.46659817351598176,0.41329929863677545,0.3335018549424977,279857,245263,480,53.24524353120243,46.663432267884325,0.091324200913242
2.0,1.0,0.75,0.4665867579908676,0.41332315689644217,0.33256416870301986,280305,245263,32,53.33047945205479,46.663432267884325,0.0060882800608828
2.0,1.0,0.5,0.46659817351598176,0.4133449945054235,0.33251456074506347,280336,245263,1,53.33637747336377,46.663432267884325,0.0001902587519025875
2.0,1.0,2.25,0.42433409436834096,0.4150698508199911,0.3318640203908068,13866,172427,339307,2.638127853881279,32.80574581430746,64.55612633181126
2.25,1.0,1.5,0.42667427701674276,0.4103108545010132,0.3283958877860281,323034,194332,8234,61.46004566210046,36.973363774733635,1.5665905631659056
0.5,1.0,0.75,0.5933485540334855,0.37294601651048115,0.3270927645527025,278,474300,51022,0.052891933028919334,90.23972602739725,9.707382039573819
0.75,1.0,0.5,0.5913584474885845,0.3671107460360901,0.3215986019528975,37392,482818,5390,7.114155251141553,91.8603500761035,1.0254946727549468
