rejilla_minutos,variante,semilla,margen_ev,aprobada_dos_pliegues,operaciones_2023,operaciones_2024,precision_tp_2023,porcentaje_acierto_tp_2023,precision_tp_2024,porcentaje_acierto_tp_2024,retorno_neto_medio_2023,retorno_neto_medio_2024,retorno_neto_mediano_2023,retorno_neto_mediano_2024,factor_beneficio_2023,factor_beneficio_2024,drawdown_2023,drawdown_2024,concentracion_2023,concentracion_2024,retorno_medio_promedio,peor_retorno_medio,peor_pf
15,macro_reservas_fed,42,0.0,False,1490,1716,0.2243985522674047,22.439855226740477,0.2876782077393075,28.76782077393075,-0.0008665424104426,-0.0008368817956704,-0.0059999998882412,-0.0059999998882412,0.7529659508256974,0.7765712610644462,-0.7390807344624353,-0.7827177866000287,0.1471185145871711,0.1071612377177874,-0.0008517121030565001,-0.0008665424104426,0.7529659508256974
30,control_63_eventos,42,0.00025,False,1252,1140,0.2310513447432763,23.10513447432763,0.2824207492795389,28.24207492795389,-0.0008673159543759,-0.0008363689635944,-0.0059999998882412,-0.0059999998882412,0.7457341961730667,0.7737371822135883,-0.6773367833227076,-0.6316835325448873,0.1239761012257122,0.1159470886481204,-0.00085184245898515,-0.0008673159543759,0.7457341961730667
15,macro_dolar,42,0.001,False,932,643,0.2426991777714771,24.26991777714772,0.2924826279216677,29.248262792166773,-0.0007629049672164,-0.0008737148248883,-0.0059999998882412,-0.0059999998882412,0.781079153457988,0.7651589985316106,-0.5475934364865949,-0.4751844623799024,0.1420456339533175,0.1395466409708049,-0.00081830989605235,-0.0008737148248883,0.7651589985316106
15,macro_reservas_fed,42,0.0005,False,1171,1076,0.2243985522674047,22.439855226740477,0.2876782077393075,28.76782077393075,-0.000876108190743,-0.0008160359561035,-0.0059999998882412,-0.0059999998882412,0.749469778175995,0.7793806851701716,-0.6570040531304034,-0.6007792801139573,0.1361837274624194,0.1128283059439651,-0.0008460720734232499,-0.000876108190743,0.749469778175995
30,macro_dolar,42,0.00025,False,1072,1298,0.2250196695515342,22.50196695515342,0.2685393258426966,26.853932584269664,-0.0008782270939609,-0.0007911250986442,-0.0059999998882412,-0.0059999998882412,0.7480609347298643,0.7854797713882753,-0.6273315654201672,-0.6821980124323521,0.1256240576873918,0.1053736667973563,-0.00083467609630255,-0.0008782270939609,0.7480609347298643
10,macro_vix,42,0.00025,False,1336,1630,0.2263444520081688,22.634445200816884,0.2906746031746032,29.06746031746032,-0.0008795390544025,-0.0007873438924171,-0.0059999998882412,-0.0059999998882412,0.7458632203052046,0.7890056345820273,-0.7134471199805024,-0.739706169457642,0.1229414384881603,0.1091862769287958,-0.0008334414734098,-0.0008795390544025,0.7458632203052046
10,macro_reservas_fed,42,0.0005,False,1248,1171,0.2251746336118339,22.5174633611834,0.2906137184115523,29.06137184115524,-0.0008819470542496,-0.0008582946195745,-0.0059999998882412,-0.0059999998882412,0.7474987383797617,0.7695879890099869,-0.6797426288504247,-0.6496785730756229,0.1185244689625572,0.1181809012187248,-0.00087012083691205,-0.0008819470542496,0.7474987383797617
10,macro_vix,42,0.0005,False,1200,1305,0.2263444520081688,22.634445200816884,0.2906746031746032,29.06746031746032,-0.0008848691786361,-0.0008616678779494,-0.0059999998882412,-0.0059999998882412,0.7431457894065517,0.7701125330023372,-0.674119986917181,-0.6942819960687796,0.1122269125484509,0.1173673285546777,-0.00087326852829275,-0.0008848691786361,0.7431457894065517
15,control_63_eventos,42,0.00025,False,1362,1114,0.2489403786380333,24.894037863803334,0.2916328188464663,29.16328188464663,-0.0008875503563543,-0.0007066096958606,-0.0059999998882412,-0.0059999998882412,0.7437017730382429,0.8074110289544253,-0.7169344710616105,-0.5774454454637341,0.1346844659557947,0.1161142343115277,-0.00079708002610745,-0.0008875503563543,0.7437017730382429
15,macro_spread_baa,42,0.00025,False,1300,903,0.2334735576923076,23.347355769230766,0.28125,28.125,-0.0008926404456282,-0.0007578695393702,-0.0059999998882412,-0.0059999998882412,0.7491343741398695,0.7928767265662653,-0.7012262022154989,-0.5522018746199504,0.1574082907336781,0.1285629402085344,-0.0008252549924992,-0.0008926404456282,0.7491343741398695
15,macro_nasdaq100,42,0.0,False,1027,1791,0.2394185549380077,23.94185549380077,0.2806603773584906,28.066037735849054,-0.0008981372518198,-0.0007836942062133,-0.0059999998882412,-0.0059999998882412,0.7386420657394449,0.790504656804209,-0.647972857069485,-0.7786829869558951,0.119510962404416,0.108143084573862,-0.0008409157290165501,-0.0008981372518198,0.7386420657394449
15,macro_nasdaq100,42,0.00025,False,920,1413,0.2394185549380077,23.94185549380077,0.2806603773584906,28.066037735849054,-0.000900178468386,-0.0007520827971405,-0.0059999998882412,-0.0059999998882412,0.7369376945483757,0.7977644541031095,-0.6156500572972022,-0.6808725585754511,0.1159194475694288,0.1169937338810351,-0.00082613063276325,-0.000900178468386,0.7369376945483757
15,macro_vix,42,0.0005,False,1257,1294,0.2299692744032143,22.99692744032144,0.28171404327535,28.171404327535004,-0.0006563959686975,-0.0009021420890594,-0.0059999998882412,-0.0059999998882412,0.8058350284099202,0.7589570532498024,-0.5863822842647264,-0.7065958455395285,0.1296880506202194,0.111741525419633,-0.00077926902887845,-0.0009021420890594,0.7589570532498024
10,macro_nasdaq100,42,0.00025,False,1021,1600,0.2320403947670415,23.20403947670416,0.3022138680033417,30.221386800334173,-0.0008835781498085,-0.0009131772706084,-0.0059999998882412,-0.0059999998882412,0.7426845928463264,0.7594781656187536,-0.6145949818181715,-0.7838598039868481,0.1234367346221871,0.1179813587441279,-0.00089837771020845,-0.0009131772706084,0.7426845928463264
10,control_63_eventos,42,0.0005,False,1315,902,0.2446148229280759,24.46148229280759,0.2902621722846442,29.02621722846441,-0.0009179244520321,-0.0007783317781665,-0.0059999998882412,-0.0059999998882412,0.7358918271700204,0.7892191015561268,-0.7177445072116164,-0.5220291689403669,0.1201687825708388,0.1277174231582964,-0.0008481281150993,-0.0009179244520321,0.7358918271700204
15,macro_vix,42,0.0,False,1615,1953,0.2299692744032143,22.99692744032144,0.28171404327535,28.171404327535004,-0.0009091996974493,-0.0009196420516891,-0.0059999998882412,-0.0059999998882412,0.7429963451588745,0.7567407405957984,-0.7833039464587382,-0.8448397527723347,0.1379466306762126,0.1037730857054378,-0.0009144208745692,-0.0009196420516891,0.7429963451588745
30,control_63_eventos,42,0.0,False,1391,1420,0.2310513447432763,23.10513447432763,0.2824207492795389,28.24207492795389,-0.0009222186920113,-0.0007903701127834,-0.0059999998882412,-0.0059999998882412,0.7312941101478007,0.7862590573753139,-0.7367000598493156,-0.6913723621820138,0.1219224949305979,0.1096422163076987,-0.00085629440239735,-0.0009222186920113,0.7312941101478007
10,macro_reservas_fed,42,0.00025,False,1398,1431,0.2251746336118339,22.5174633611834,0.2906137184115523,29.06137184115524,-0.0009046749695013,-0.0009229498826305,-0.0059999998882412,-0.0059999998882412,0.7439871219193043,0.7556687013744461,-0.7350419415833702,-0.7476638467264951,0.1257001879251235,0.1066437966710072,-0.0009138124260659,-0.0009229498826305,0.7439871219193043
