objetivo,variante,umbral,operaciones_minimas,retorno_minimo,retorno_mediano_minimo,factor_minimo,drawdown_peor,positivas_minimas,precision_operaciones_minima,pr_auc_minimo,pr_auc_lift_minimo,concentracion_mensual_maxima,aprobado
baja_cierre_4h,histgb_101_moderado,0.74,7,0.0003886573059218,0.0001319168843328,1.0644403438875836,-0.0500727988446823,57.14285714285714,0.1428571428571428,0.2341322535886603,1.3128936430353293,0.4596959470799383,False
corto_tp070_sl035_240m,histgb_101_moderado,0.87,1,0.0001864630505442,0.0001864630505442,1.333333349338284,-0.0045000001080335,50.0,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_101_moderado,0.86,1,0.0001613996466621,0.0001613996466621,1.7549095258179834,-0.0045000001080335,66.66666666666666,0.0,0.2686801098646919,1.1834678990494,1.0,False
corto_tp070_sl035_240m,histgb_63_moderado,0.78,5,2.345477207563816e-05,-0.0004359950069338,1.0199352907627235,-0.0089797502150945,20.0,0.2,0.2546630584100841,1.177292561863839,0.5996953614933271,False
baja_cierre_4h,histgb_101_moderado,0.85,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.94,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_101_moderado,0.95,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341322535886603,1.3128936430353293,0.0,False
baja_cierre_4h,histgb_63_moderado,0.86,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,0.5830824332808171,False
baja_cierre_4h,histgb_63_moderado,0.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,1.0,False
baja_cierre_4h,histgb_63_moderado,0.88,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,1.0,False
baja_cierre_4h,histgb_63_moderado,0.89,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,1.0,False
baja_cierre_4h,histgb_63_moderado,0.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,1.0,False
baja_cierre_4h,histgb_63_moderado,0.91,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,1.0,False
baja_cierre_4h,histgb_63_moderado,0.92,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,0.0,False
baja_cierre_4h,histgb_63_moderado,0.93,0,0.0,0.0,0.0,0.0,0.0,0.0,0.2352851491426881,1.3038575879510876,0.0,False
