pliegue,modo_evaluacion,estrategia_id,es_control_v4_1,umbral_baja,minutos_minimos,condicion_salida,operaciones,precision_clasificacion,porcentaje_acierto_clasificacion,porcentaje_operaciones_positivas,retorno_bruto_medio,retorno_neto_medio,retorno_neto_mediano,factor_beneficio,maximo_drawdown,retorno_compuesto,duracion_media_minutos,porcentaje_salidas_anticipadas,perdida_media,peor_operacion,porcentaje_meses_positivos,concentracion_ganancias_mejores_5
validacion_2024,cohorte_v4_1,baja_032_min60_siempre,False,0.32,60,siempre,127,0.48031496062992124,48.031496062992126,59.84251968503938,0.003578603738644308,0.0025786037386443072,0.00396853420629173,1.3788895209905436,-0.11879751423589324,0.348033672934158,316.9763779527559,74.80314960629921,-0.01694749672942471,-0.06163989746302656,66.66666666666666,0.21483435292708064
validacion_2024,cohorte_v4_1,baja_032_min60_solo_beneficio_neto,False,0.32,60,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,66.92913385826772,0.004017893262595208,0.003017893262595208,0.005025492641295482,1.4467553214664723,-0.12181516859476937,0.42494798233669395,393.13385826771656,44.881889763779526,-0.020426246651794693,-0.06163989746302656,75.0,0.20628895860787508
validacion_2024,cohorte_v4_1,baja_047_min0_siempre,False,0.47,0,siempre,127,0.48031496062992124,48.031496062992126,47.24409448818898,-0.00021253552098777974,-0.0012125355209877805,-0.0004847426575828031,0.76896741335519,-0.1968811027362628,-0.15262346530513482,83.83464566929133,93.7007874015748,-0.009948329193420317,-0.0428088228627459,50.0,0.34679242628314905
validacion_2024,cohorte_v4_1,baja_047_min0_solo_beneficio_neto,False,0.47,0,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,78.74015748031496,0.001710918666938212,0.0007109186669382112,0.00265811066366839,1.1287188391905199,-0.19269215381456195,0.07297933148252467,213.62992125984252,70.86614173228347,-0.025978720657664593,-0.06163989746302656,50.0,0.25968497030374
validacion_2024,cohorte_v4_1,baja_047_min30_siempre,False,0.47,30,siempre,127,0.48031496062992124,48.031496062992126,50.39370078740157,0.00024621527213368325,-0.0007537847278663176,7.493450333007166e-05,0.8783370133430334,-0.21650651942041022,-0.10577434901412086,152.1259842519685,88.9763779527559,-0.012489700725227785,-0.04293663751345311,50.0,0.2807050944100936
validacion_2024,cohorte_v4_1,baja_047_min30_solo_beneficio_neto,False,0.47,30,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,74.80314960629921,0.001888666026279266,0.0008886660262792652,0.0031455724540133687,1.1481064508216665,-0.20342032572818813,0.0961624412421831,271.76377952755905,63.77952755905512,-0.023813232119393155,-0.06163989746302656,58.333333333333336,0.23499771109728898
validacion_2024,cohorte_v4_1,baja_047_min60_siempre,False,0.47,60,siempre,127,0.48031496062992124,48.031496062992126,51.96850393700787,0.0004802211258652704,-0.0005197788741347306,0.00019900404592465646,0.9179259191643161,-0.2151839015629211,-0.08002026310225607,186.251968503937,86.61417322834646,-0.013185192730756842,-0.053002016672364816,41.66666666666667,0.26277261927291556
validacion_2024,cohorte_v4_1,baja_047_min60_solo_beneficio_neto,False,0.47,60,solo_beneficio_neto,127,0.48031496062992124,48.031496062992126,73.22834645669292,0.0018442299817301223,0.0008442299817301214,0.003642293814683285,1.1343036165116949,-0.2138306841699702,0.08928291872251926,293.8031496062992,59.84251968503938,-0.023479987855898228,-0.06163989746302656,50.0,0.22704294486193782
validacion_2024,reinversion,control_v4_1_fija_480m,True,,0,siempre,127,0.48031496062992124,48.031496062992126,61.417322834645674,0.004496752860065117,0.003496752860065116,0.005907866412025232,1.433836715067117,-0.12580432747781312,0.4989295240498677,480.0,0.0,-0.02089037695544174,-0.06163989746302656,66.66666666666666,0.2161625291627123
validacion_2024,reinversion,baja_032_min0_siempre,False,0.32,0,siempre,191,0.4816753926701571,48.167539267015705,53.403141361256544,0.002244716443133105,0.0012447164431331043,0.0009652719414093855,1.2227183318476753,-0.12838297446089675,0.2282434132963378,222.52879581151834,81.67539267015707,-0.011993828160758137,-0.062383053700501345,50.0,0.206092950877222
validacion_2024,reinversion,baja_032_min0_solo_beneficio_neto,False,0.32,0,solo_beneficio_neto,143,0.46853146853146854,46.85314685314685,69.23076923076923,0.0030873555890863972,0.0020873555890863964,0.003748251059217612,1.3226858681209959,-0.1479367719049779,0.3075897501357605,356.7412587412587,48.95104895104895,-0.021023249961436365,-0.08333127448771271,66.66666666666666,0.20926649008389114
validacion_2024,reinversion,baja_032_min30_siempre,False,0.32,30,siempre,154,0.4805194805194805,48.05194805194805,57.7922077922078,0.0035284877166389364,0.0025284877166389355,0.003159352453009024,1.3877117355797068,-0.09413329599176823,0.4265941258839294,285.95454545454544,77.27272727272727,-0.015451095100141636,-0.062383053700501345,58.333333333333336,0.2023360606268926
validacion_2024,reinversion,baja_032_min30_solo_beneficio_neto,False,0.32,30,solo_beneficio_neto,136,0.47794117647058826,47.794117647058826,66.91176470588235,0.0032409165177203483,0.0022409165177203474,0.00448686132508458,1.3288577565435062,-0.14734936920114972,0.315198816249598,376.2132352941176,45.588235294117645,-0.02059415526391363,-0.08333127448771271,66.66666666666666,0.2132159954577624
validacion_2024,reinversion,baja_032_min60_siempre,False,0.32,60,siempre,149,0.48322147651006714,48.322147651006716,57.04697986577181,0.0032300594292541803,0.0022300594292541795,0.0020810866978208118,1.3201524705448684,-0.09111535730335374,0.3479442118725897,299.83892617449663,75.83892617449665,-0.01621682662606462,-0.062383053700501345,66.66666666666666,0.19385715168253767
validacion_2024,reinversion,baja_032_min60_solo_beneficio_neto,False,0.32,60,solo_beneficio_neto,132,0.4772727272727273,47.72727272727273,65.15151515151516,0.0031197458840081446,0.0021197458840081437,0.004627266071799086,1.2855634541528682,-0.1396619176587799,0.2806788167606169,397.15909090909093,42.42424242424242,-0.02130086665502349,-0.08333127448771271,58.333333333333336,0.2084520407768783
validacion_2024,reinversion,baja_047_min0_siempre,False,0.47,0,siempre,468,0.47649572649572647,47.64957264957265,45.085470085470085,-0.0002503958274987183,-0.0012503958274987191,-0.0006775026492261685,0.6648671594578587,-0.49333951471314075,-0.45485926024333023,54.138888888888886,95.94017094017094,-0.006794277141720736,-0.0428088228627459,8.333333333333332,0.17140664364075933
validacion_2024,reinversion,baja_047_min0_solo_beneficio_neto,False,0.47,0,solo_beneficio_neto,204,0.47549019607843135,47.549019607843135,80.3921568627451,0.0014794497514364097,0.0004794497514364087,0.002169083626970326,1.1064705714756868,-0.15266729943479984,0.07571502085298021,183.24019607843138,73.52941176470588,-0.022965911598249074,-0.07155610281676406,50.0,0.20226957652288538
validacion_2024,reinversion,baja_047_min30_siempre,False,0.47,30,siempre,261,0.4674329501915709,46.74329501915709,47.89272030651341,-0.00022581954273016437,-0.0012258195427301652,-0.0007143425898278313,0.7917917583556202,-0.37952185482727196,-0.2933608431480851,131.95402298850576,90.42145593869732,-0.011298745419410908,-0.046979421678197686,25.0,0.16952107481136575
validacion_2024,reinversion,baja_047_min30_solo_beneficio_neto,False,0.47,30,solo_beneficio_neto,160,0.4875,48.75,73.75,0.0011577637624512569,0.00015776376245125594,0.0023387766125653195,1.026158410044731,-0.23349991376333268,-0.0011126188786847457,257.99375,64.375,-0.022975586372046282,-0.08333127448771271,50.0,0.20140275266473706
validacion_2024,reinversion,baja_047_min60_siempre,False,0.47,60,siempre,213,0.47417840375586856,47.417840375586856,49.76525821596244,1.6120666518535993e-05,-0.0009838793334814649,-0.0003633392680294492,0.8462065684480534,-0.33457607657235156,-0.21138347823578907,181.4600938967136,85.91549295774648,-0.012735027193561373,-0.06617619357624194,25.0,0.17854958371737953
validacion_2024,reinversion,baja_047_min60_solo_beneficio_neto,False,0.47,60,solo_beneficio_neto,151,0.4900662251655629,49.00662251655629,71.52317880794702,0.001183538618583186,0.00018353861858318504,0.003334175217048042,1.0273644927271588,-0.23561631203748834,0.00011298890070410295,291.34437086092714,58.27814569536424,-0.02355312563075561,-0.08333127448771271,25.0,0.18967941938741406
